,dataset,split,model_name_or_path,train_roc,val_roc,test_roc,prompt,,,
107,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.530951671,"Mitochondrial membrane potential (MMP) is crucial for cellular energy production, and its alteration can lead to cell damage. Does this molecule influence MMP in a way that could disrupt mitochondrial function?",train,,,
108,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.609561456,Mitochondrial membrane potential (MMP) is directly related to mitochondrial health and energy production. Can this molecule have a toxic effect by decreasing MMP?,train,,,
109,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.598075776,Mitochondrial membrane potential (MMP) is vital for mitochondrial function. Does this molecule interfere with the mitochondrial membrane potential and cause cellular dysfunction?,train,0.652496022,,
110,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.448478597,"p53 is a tumor suppressor protein activated in response to cellular stress, including DNA damage. How effectively does this molecule activate the p53 signaling pathway, influencing DNA repair and apoptosis?",train,,,
111,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.512351728,"p53 is a key regulator of the cellular response to DNA damage and stress. Can this molecule act as an agonist, activating the p53 signaling pathway and inducing DNA repair or apoptosis?",train,,,
112,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.55198556,Activation of p53 plays a critical role in cell fate decisions following DNA damage. Does this molecule enhance the activation of the p53 signaling pathway and promote cell cycle arrest or apoptosis?,train,,,
113,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.492186694,"p53 activation is a crucial response to DNA damage and cellular stress. How does this molecule impact the p53 signaling pathway, and can it induce DNA repair, apoptosis, or cell cycle arrest?",train,,,
114,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.43898917,"The tumor suppressor protein p53 is activated in response to DNA damage and other stresses, regulating cellular responses. Does this molecule influence the p53 signaling pathway and promote DNA repair or apoptosis?",train,,,
115,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.549664776,"p53 activation triggers DNA repair, cell cycle arrest, and apoptosis in response to cellular stress. Can this molecule activate the p53 signaling pathway effectively and induce these cellular responses?",train,,,
116,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.502527076,"p53 activation is vital in the cellular response to DNA damage. Can this molecule enhance p53 activity and lead to effective DNA repair, cell cycle arrest, or apoptosis?",train,,,
117,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.517302733,"p53 is activated following DNA damage or cellular stress, triggering essential responses like DNA repair and apoptosis. Does this molecule activate the p53 signaling pathway to mediate these effects?",train,,,
118,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.502359464,The activation of p53 is an important marker for DNA damage and cellular stress. Can this molecule activate the p53 signaling pathway and influence cell fate through DNA repair or apoptosis?,train,,,
119,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.493295513,"p53 is a key tumor suppressor protein involved in responding to DNA damage and cellular stress. Does this molecule act as an agonist for p53 signaling, leading to cell cycle arrest or apoptosis?",train,0.55198556,,
